name,year,location,layout,price,description
Modern and Spacious House in Kawasaki,2015,"Kawasaki City, Takatsu Ward",3LDK,"¥200,000/month","This beautiful house was built in 2015 and is located in the peaceful and residential area of Takatsu Ward in Kawasaki City. It features a modern and spacious layout of 3LDK, with three bedrooms, a living room, dining room, and kitchen. Pets and smoking are not allowed in the property. Free wifi is provided for tenants. The nearest subway station is a 10-minute walk away, and it takes 15 minutes to reach Shin-Kawasaki Station, which is a major hub for transportation. The nearest supermarket is also a 10-minute walk away, making it convenient for grocery shopping. Don't miss the opportunity to live in this comfortable and convenient house in Kawasaki."
Cozy House in Fujisawa,1995,"Fujisawa, Kanagawa Prefecture",2LDK,"¥150,000/month","This lovely two-bedroom house is located in the charming city of Fujisawa, known for its beautiful beaches and parks. The house was built in 1995 and is well-maintained with modern amenities. It features a spacious living and dining area, a fully-equipped kitchen, and two cozy bedrooms. Pets are allowed in this house, and there is free WiFi available. The nearest subway station is a 10-minute walk away, and it takes about 20 minutes to reach the city center. There is also a supermarket within a 5-minute walk from the house for convenient grocery shopping."
Saitama Green House,2014,"Saitama City, Omiya Ward",1LDK,"¥120,000/month","This cozy house is located in the quiet residential area of Omiya Ward in Saitama City. Built in 2014, it is a modern 1LDK layout with plenty of natural light and a spacious living room. Perfect for couples or small families. Pets and smoking are not allowed. Free Wi-Fi is provided. The nearest subway station is a 10-minute walk away with convenient access to Tokyo and other areas. The closest supermarket is a 5-minute walk away for your grocery needs."
Spacious Yokohama House,2010,"Yokohama, Kanagawa",3LDK,"¥200,000/month","This modern house is located in a quiet neighborhood in Yokohama, with easy access to public transportation. Pets are allowed upon approval. Smoking is not allowed inside the house. Free WiFi is provided. The nearest subway station is a 10-minute walk away, and the nearest supermarket is a 5-minute walk away."
Modern House in Saitama,2018,"Saitama City, Omiya Ward",2LDK,"¥170,000/month","This modern house is perfect for individuals or small families looking for a place to call home in Saitama. Built in 2018, this house features a spacious and bright 2LDK layout with plenty of natural light. The rental price includes free wifi and elevator access, making it convenient for everyday living. Pets and smoking are not allowed. It takes only 10 minutes to walk to the nearest subway station, Omiya Station, and only 15 minutes by train to reach the nearest supermarket. Don't miss out on this great rental opportunity in Saitama!"
Cozy Fujisawa House,2015,"Fujisawa, Kanagawa",2LDK,"¥180,000/month",Pet-friendly house with free WiFi and elevator access. 5-minute walk to Shonandai Station on Odakyu Line and 10-minute walk to Fujisawa Station on JR Line. Nearest supermarket is a 7-minute walk away. Non-smoking only. Tenant responsible for utility fees.
Ocean View Residence,2002,"Fujisawa, Kanagawa Prefecture",2LDK,"¥180,000/month","This modern 2LDK residence offers spectacular ocean views from its large windows and balconies. The building was constructed in 2002 and has been well-maintained. The apartment is pet-friendly and smoking is allowed on the balcony. Free wifi is provided throughout the building. The building has an elevator for easy access to each floor. It takes only 5 minutes to walk to the nearest subway station, Fujisawa Station on the Tokaido Main Line. The apartment is also only a 10-minute walk to the nearest supermarket, making grocery shopping convenient."
Cozy Fujisawa House,2018,"Fujisawa, Kanagawa Prefecture",2LDK,"¥120,000/month","This newly built house is located in the peaceful and scenic city of Fujisawa. It has a modern 2LDK layout, perfect for small families or couples. Pets are allowed in this house and it also comes with free WiFi. There is a nearby subway station, which can be reached by foot in 10 minutes. The nearest supermarket is a 5-minute drive away."
Sunny Villa,2010,"Fujisawa, Kanagawa Prefecture",2LDK,"¥160,000/month","This spacious 2LDK house located in Fujisawa is perfect for families or roommates. Built in 2010, it is equipped with modern amenities such as air conditioning, a fully stocked kitchen, and free WiFi. Pets and smoking are not allowed. The nearest subway station, Fujisawa Station, is a 10-minute walk away. There is also a bus stop right outside the house that can take you to the station in 5 minutes. The nearest supermarket is a 7-minute walk away. The house also has an elevator for easy access."
Cozy House in Fujisawa,1998,"Fujisawa, Kanagawa, Japan",2LDK,"¥150,000/month","This charming house is located in the peaceful neighborhood of Fujisawa, just a short walk from the nearest station. It features a spacious 2LDK layout, perfect for small families or roommates. Pets and smoking are not allowed on the premises, creating a clean and quiet environment. High-speed wifi is provided for free, and there is an elevator in the building for easy access. The closest subway station is a 10 minute walk away, and the nearest supermarket is just a 5 minute walk. Enjoy the convenience and comfort of this lovely rental house in Fujisawa."
Spacious Modern House in Kawasaki,2015,"Kawasaki City, Tama Ward",3LDK,"¥200,000/month","This modern 3 bedroom house is located in the quiet and peaceful neighborhood of Tama Ward in Kawasaki City. It was newly built in 2015 and features a spacious living and dining area, as well as a fully equipped kitchen. The bedroom layout is 1 master bedroom, 1 guest room, and 1 study room. This house is pet-friendly and allows smoking in designated areas. Free wifi is provided, and there is an elevator for easy access to the upper floors. It takes only 5 minutes to walk to the nearest subway station, and the nearest supermarket is a 10-minute walk away. Enjoy the convenience and comfort of this beautiful house in Kawasaki."
Cozy Saitama House,2005,"Saitama City, Urawa Ward",1LDK,"¥150,000/month","This cozy house is located in the quiet and peaceful neighborhood of Saitama City, in the Urawa Ward. It was built in 2005 and offers a spacious 1LDK layout. The rental price is ¥150,000 per month. Pets are allowed upon approval and smoking is prohibited inside the house. Free wifi is provided for tenants. There is an elevator in the building. The nearest subway station is a 10-minute walk away and is easily accessible by bus. There is also a supermarket within a 5-minute walk. Enjoy the convenience and comfort of this beautiful Saitama house."
Cozy House in Fujisawa,2015,"Fujisawa City, Kanagawa Prefecture",2LDK,"¥150,000/month","This modern house was built in 2015 and is located in the peaceful city of Fujisawa. The house has a comfortable layout with 2 bedrooms, a living room, dining area, and kitchen. Pets and smoking are not allowed in this rental. However, the house does offer free wifi and comes equipped with an elevator. The nearest subway station is a 10-minute walk away and the nearest supermarket is also within walking distance."
Saitama Modern House,2016,"Saitama City, Urawa Ward",2LDK,"¥150,000/month","This modern 2LDK house is located in the quiet and peaceful Urawa ward of Saitama City. Built in 2016, it features a spacious living room, dining area, and kitchen on the first floor, with two bedrooms and a bathroom on the second floor. The house is pet-friendly and has free wifi included in the rental price. It is a 10-minute walk to the nearest subway station, and a 15-minute walk to the nearest supermarket. Elevator is available for easy access to all floors. Smoking is not allowed in the house."
Fujisawa Cozy House,2015,"Fujisawa, Kanagawa",2LDK,"¥150,000/month","This cozy house is located in the quiet neighborhood of Fujisawa, a peaceful city in Kanagawa prefecture. It was built in 2015 and has a spacious 2LDK layout with 2 bedrooms, a living room, and a dining room. The rental price is ¥150,000 per month. Pets are allowed and smoking is only allowed on the balcony. Free wifi is provided. The nearest subway station is a 10-minute walk away and it takes 15 minutes to reach the station by bus. The nearest supermarket is a 5-minute walk away. This house is perfect for a small family or couple looking for a quiet and comfortable home in Fujisawa."
Yokohama Deluxe House,2012,"Yokohama City, Naka Ward",3LDK,"¥200,000/month",Pets and smoking are not allowed. Free Wifi provided. Elevator is available. The nearest subway station is a 10 minute walk to Sakuragicho Station. The nearest supermarket is a 5 minute walk to Life Supermarket.
Kawasaki Riverside House,2015,"Kawasaki, Tama Ward",2LDK,"¥180,000/month","Great location near the Tama River with beautiful views. Recently built in 2015, this spacious 2LDK house is perfect for families or roommates. Pets are allowed with an additional pet deposit. Smoking is not allowed. Free Wi-Fi is provided. The nearest subway station is a 10-minute walk away and the station name is Tama-River Station. The nearest supermarket is a 5-minute walk away."
Saitama Shining House,2020,"Saitama City, Kita Ward",2LDK,"¥150,000/month","This beautiful and spacious house is located in the quiet and peaceful Kita Ward of Saitama City. It was newly built in 2020 and features a modern and stylish design. With a layout of 2LDK, it is perfect for small families or roommates. Pets and smoking are not allowed in this house. However, free Wi-Fi is provided and there is an elevator for easy access. It takes only 5 minutes to walk to the nearest subway station, making it convenient for daily commutes. The nearest supermarket is just a 10-minute walk away."
Cozy Chiba Cottage,2010,"Inage ward, Chiba City",2LDK,"¥170,000/month","This charming cottage is located in a quiet and peaceful residential area of Chiba, perfect for those looking for a tranquil living space. The house was built in 2010 and has been well-maintained, ensuring a comfortable stay. Pets are allowed with an additional deposit. Smoking is prohibited inside the house. Free wifi is provided. The nearest subway station is a 15-minute walk away, and the station is Chiba-minato. The nearest supermarket is also a 15-minute walk away, making grocery shopping convenient and hassle-free. There is an elevator in the building, making it accessible for everyone. Come and experience the beauty of Chiba from this lovely house!"
Cozy Kawasaki House,2020," Kawasaki City, Kawasaki Ward",2LDK,"¥150,000/month","This newly built house features a modern and cozy 2LDK layout, perfect for a small family. Located in the desirable area of Kawasaki Ward, it offers easy access to public transportation with a 10-minute walk to the nearest subway station. The house is pet-friendly and includes free wifi. The building has an elevator for easy access and there is a nearby supermarket within a 5-minute walk making it convenient for grocery shopping."
Peaceful Fujisawa House,2014,"Fujisawa, Kanagawa Prefecture",2LDK,"¥150,000/month","This modern and spacious 2LDK house is located in the peaceful city of Fujisawa, just a short train ride away from Tokyo. The house features a large living room, two bedrooms, and a fully equipped kitchen. Pets are allowed upon approval and there is free WiFi available. There's also an elevator for easy access to the upper floors. The nearest station is a 10-minute walk away and the supermarket is only a 5-minute walk away. Perfect for those looking for a quiet and convenient living space."
Cozy Yokohama House,2005,"Yokohama City, Kanagawa Prefecture, Nishi Ward",2LDK,"¥150,000/month","This beautiful house is located in the heart of Yokohama, in the Nishi Ward. It was built in 2005, so it has a modern and stylish design. The layout is 2LDK, with two bedrooms, a living room, dining room and kitchen. Pets are allowed upon approval, and smoking is only allowed outside on the balcony. Wifi is provided for free, and there is an elevator in the building. It takes only a 5-minute walk to the nearest subway station, which is Nishi-Yokohama station on the Yokohama Municipal Subway. The nearest supermarket is also a 5-minute walk away."
Kawasaki Cozy House,2015,"Kawasaki City, Tama-ku",2LDK,"¥175,000/month","Pet-friendly house located in a quiet residential area in Tama-ku, Kawasaki City. Built in 2015, this cozy 2LDK house offers plenty of natural light and a spacious living room. The nearest subway station is a 10-minute walk away and there is a bus stop just a few steps from the house. The neighborhood has a supermarket within a 5-minute walk and a park just a few minutes away. Elevator is available in the building. Perfect for a family or a couple looking for a peaceful and convenient living space."
Sunshine House,2010,"Kawasaki, Nakahara Ward",2LDK,"¥150,000/month",Pet-friendly house with free wifi. 5 minutes walk to Nakahara subway station. 10 minutes walk to nearest supermarket.
Modern House in Central Tokyo,2015,"Minato-ku, Azabujuban",2LDK,"¥200,000/month",This modern house is located in the heart of Tokyo in the vibrant neighborhood of Azabujuban. The house was built in 2015 and features a spacious 2LDK layout. It is fully furnished and offers free wifi to tenants. Pets are not allowed and smoking is prohibited. The nearest subway station is a 5 minute walk away and it takes approximately 10 minutes to reach the nearest supermarket. The building also has an elevator for convenience.
Ocean View House,2015,"Fujisawa City, Katasekaigan",2LDK,"¥200,000/month","This newly built house offers stunning ocean views from every room. It is located in the beautiful coastal city of Fujisawa, in the Katasekaigan area. The layout consists of two bedrooms, a living room, dining room, and kitchen. The master bedroom has a balcony overlooking the ocean. Pets are allowed with an additional fee. Smoking is not allowed in the house. Free WiFi is provided. The house is a 10-minute walk from Shonan-Fukasawa Station, where you can take the Enoshima Electric Railway to Enoshima Island. It is also a 15-minute walk to the nearest supermarket."
Sakura House Tokyo,2020,"Hiroo, Shibuya-ku, Tokyo",2LDK,"¥180,000/month","This modern and spacious 2LDK house is located in the trendy neighborhood of Hiroo in Shibuya-ku, Tokyo. Built in 2020, it is equipped with all the latest amenities and features a beautiful sakura tree in the garden. Pets are allowed with an additional fee, and the entire house is non-smoking. Free WiFi is provided and there is an elevator for easy access to the second floor where the bedrooms are located. The house is a 10-minute walk to Hiroo subway station on the Hibiya line, and there is a bus stop right outside for easy access to other areas of Tokyo. The nearest supermarket is a 5-minute walk away and is open 24 hours for your convenience."
Spacious House in Kawasaki,2015,"Kawasaki City, Tama Ward",2LDK,"¥150,000/month","This modern and spacious house is located in a quiet residential area of Tama Ward, Kawasaki City. Built in 2015, it features a 2LDK layout with 2 bedrooms, a living room, dining area, and kitchen. Pets and smoking are not allowed on the premises. Free Wi-Fi is provided and there is an elevator in the building. It takes approximately 10 minutes to walk to the nearest subway station, Tama-Plaza Station. The nearest supermarket is also a 10-minute walk away."
Sunny Fujisawa House,2010,"Fujisawa City, Kanagawa",1LDK,"¥120,000/month","This modern 1LDK house is located in the lively city of Fujisawa, just a 10-minute walk from the nearest station. The house is pet-friendly and has free wifi. It also features an elevator, making it easy to access for all residents. The nearest subway station is a 15-minute walk away and the nearest supermarket is just a 5-minute walk away."
Cozy Chiba House,2015,"Chiba City, Inage Ward",2LDK,"¥130,000/month","This newly built house is located in a quiet residential area of Inage Ward in Chiba City. It features a spacious 2LDK layout with two bedrooms, a living room, dining area, and kitchen. The rent includes water and garbage fees, and the house is equipped with air conditioning for both heating and cooling. The house is pet-friendly and smoking is allowed. Free wifi is provided, and there is an elevator in the building. The nearest subway station is a 10-minute walk, and the supermarket is only a 5-minute walk away."
Cozy Townhouse in Yokohama,2016,"Kanagawa Prefecture, Yokohama City, Naka Ward",2LDK,"¥180,000/month","This modern townhouse was built in 2016 and is located in the bustling city of Yokohama. The 2LDK layout includes two bedrooms, a living room, dining room, and kitchen. Pets are allowed with an additional deposit. Smoking is only permitted on the balcony. The house is equipped with free wifi and an elevator for easy access. It takes 5 minutes to walk to the nearest subway station, Sakuragicho Station, where you can access various train lines. The nearest supermarket is also a 5-minute walk away, making grocery shopping convenient for tenants."
Chiba Rentals,2015,"Chiba City, Chuo Ward",2LDK,"¥130,000/month","Pet-friendly house with free WiFi and elevator. 10-minute walk to Chiba Station on the JR Keiyo Line. Nearest supermarket is Sushiro Supermarket, just a 3-minute walk away."
Yokohama Seaside House,2018,"Yokohama City, Kanagawa Ward",2LDK,"¥200,000/month","This spacious 2LDK house is located in the beautiful seaside city of Yokohama. Built in 2018, it features modern amenities and a comfortable living space. Pets and smoking are not allowed. Free wifi is provided. The nearest subway station is a 10-minute walk away, with easy access to the city center. The nearest supermarket is also a 10-minute walk away, making grocery shopping a breeze. Don't miss the chance to live in this prime location in Yokohama!"
Modern House in Yokohama,2015,"Yokohama City, Nishi Ward",2LDK,"¥150,000/month","This modern house was built in 2015 and is located in the bustling city of Yokohama, specifically in the Nishi ward. The layout of the house is 2LDK, meaning there are two bedrooms, a living room, dining room, and kitchen. The monthly rental price for this house is ¥150,000. This house is pet-friendly and smoking is allowed. Free wifi is provided for tenants. There is an elevator in the building. The nearest subway station is a 10-minute walk away and is called Nishi-Yokohama Station. The nearest supermarket is a 15-minute walk away."
Kawasaki Cozy House,2010,"Kawasaki City, Kawasaki Ward",2LDK,"¥150,000/month","Pets and smoking not allowed. Free wifi provided. Nearest subway station is 10 minutes away by foot, at Musashi-Kosugi Station. Nearest supermarket is 5 minutes away by foot. Elevator available in building."
