location,price,type_type,type_square,type_layout,type_layout_details,built_info_year,built_info_structure,live_info_nearest_supermarket,live_info_nearest_subway
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1200,House,80 sqm,3LDK,Living room: 40 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$900,Apartment,60 sqm,2LDK,Living room: 25 sqm,1990,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Yokohama Ward",$1100,Condominium,90 sqm,3LDK,Living room: 35 sqm,1998,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Chiyoda Ward",$800,apartment,50 sqm,1LDK,Living room: 20 sqm,2010,concrete,10 minutes by walk,5 minutes by walk
"Yokohama City, Kanagawa Ward",$900,condominium,70 sqm,2LDK,Living room: 30 sqm,2005,steel,15 minutes by bus,10 minutes by walk
"Chiba City, Chuo Ward",$700,apartment,40 sqm,1DK,Living room: 15 sqm,1995,wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Shinjuku Ward",$850,apartment,60 sqm,2LDK,Living room: 25 sqm,2000,concrete,10 minutes by walk,5 minutes by walk
"Yokohama City, Nishi Ward",$750,apartment,45 sqm,1LDK,Living room: 18 sqm,1998,steel,8 minutes by walk,10 minutes by bus
"Tokyo City, Shibuya Ward",$800,apartment,50,1LDK,Living room: 25 sqm,2010,concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,condominium,70,2LDK,Living room: 30 sqm,2005,steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,house,80,3LDK,Living room: 40 sqm,1990,wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$750,apartment,45,1DK,Living room: 20 sqm,2008,concrete,5 minutes by walk,10 minutes by bus
"Yokohama City, Nishi Ward",$850,condominium,60,2DK,Living room: 25 sqm,2015,steel,10 minutes by walk,5 minutes by bus
"Tokyo City, Minato Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,2005,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Nishi Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80 sqm,3LDK,Living room: 40 sqm,1990,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$950,Apartment,60 sqm,2LDK,Living room: 25 sqm,2002,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Kanagawa Ward",$980,Condominium,65 sqm,2LDK,Living room: 28 sqm,2008,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Shinjuku Ward",$1000,apartment,50 sqm,1LDK,Living room: 20 sqm,2000,concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1200,condominium,80 sqm,2LDK,Living room: 30 sqm,1995,steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1500,house,100 sqm,3LDK,Living room: 40 sqm,1985,wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$900,apartment,60 sqm,1DK,Living room: 25 sqm,2005,concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Yokohama Ward",$1100,condominium,70 sqm,2DK,Living room: 35 sqm,1998,steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,40 square meters,1LDK,Living room: 20 square meters,2000,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Nishi Ward",$900,Condominium,60 square meters,2LDK,Living room: 30 square meters,1995,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 square meters,3LDK,Living room: 40 square meters,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,50 square meters,1DK,Living room: 25 square meters,2005,Steel,12 minutes by walk,8 minutes by bus
"Yokohama City, Minami Ward",$950,Condominium,70 square meters,2DK,Living room: 35 square meters,1990,Concrete,18 minutes by walk,13 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 square meters,1LDK,20 square meters living room,2005,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 square meters,2LDK,30 square meters living room,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$700,Apartment,40 square meters,1DK,15 square meters living room,1995,Wood,5 minutes by walk,3 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 square meters,2LDK,25 square meters living room,2008,Concrete,12 minutes by walk,7 minutes by bus
"Yokohama City, Yokohama Ward",$1000,Condominium,80 square meters,3LDK,35 square meters living room,2015,Steel,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,5 minutes by walk,10 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,1995,Steel,10 minutes by walk,15 minutes by bus
"Chiba City, Chuo Ward",$1200,House,100 sqm,3LDK,Living room: 40 sqm,1985,Wood,8 minutes by walk,20 minutes by bus
"Tokyo City, Shibuya Ward",$950,Apartment,60 sqm,2LDK,Living room: 25 sqm,1998,Concrete,5 minutes by walk,10 minutes by bus
"Yokohama City, Nishi Ward",$1100,Condominium,80 sqm,2LDK,Living room: 35 sqm,2005,Steel,10 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku ward",$800,apartment,50 square meters,1LDK,Living room: 20 square meters,1990,concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa ward",$900,condominium,80 square meters,2LDK,Living room: 30 square meters,2005,steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo ward",$1000,house,100 square meters,3LDK,Living room: 40 square meters,1995,wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya ward",$850,apartment,60 square meters,2LDK,Living room: 25 square meters,2000,concrete,12 minutes by walk,7 minutes by bus
"Yokohama City, Nishi ward",$1100,house,120 square meters,4LDK,Living room: 50 square meters,2010,steel,18 minutes by walk,13 minutes by bus
"Tokyo City, Shinjuku Ward",$1000,Apartment,50 square meters,2LDK,Living room: 20 square meters,2010,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1200,Condominium,70 square meters,3LDK,Living room: 25 square meters,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1500,House,80 square meters,4LDK,Living room: 30 square meters,1995,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$900,Apartment,60 square meters,2LDK,Living room: 25 square meters,2008,Concrete,5 minutes by walk,10 minutes by bus
"Yokohama City, Yokohama Ward",$1300,Condominium,90 square meters,3LDK,Living room: 30 square meters,2003,Steel,10 minutes by walk,5 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by walk
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 30 sqm,2010,Steel,15 minutes by bus,10 minutes by walk
"Chiba City, Chiba Ward",$1000,House,80 sqm,3LDK,Living room: 40 sqm,1995,Wood,20 minutes by bus,15 minutes by walk
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,1DK,Living room: 25 sqm,2005,Concrete,12 minutes by walk,8 minutes by walk
"Yokohama City, Yokohama Ward",$1100,Condominium,90 sqm,3LDK,Living room: 45 sqm,2008,Steel,18 minutes by bus,12 minutes by walk
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2005,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 25 sqm,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 30 sqm,1995,Wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Shibuya Ward",$750,Apartment,45 sqm,1DK,Living room: 15 sqm,1990,Concrete,8 minutes by walk,10 minutes by bus
"Yokohama City, Nishi Ward",$850,Condominium,60 sqm,1LDK,Living room: 18 sqm,2008,Steel,12 minutes by walk,8 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 30 sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 40 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,1DK,Living room: 25 sqm,2005,Concrete,12 minutes by walk,7 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,75 sqm,2DK,Living room: 35 sqm,1990,Steel,18 minutes by walk,13 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 30 sqm,2005,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 40 sqm,2010,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1000,House,100 sqm,3LDK,Living room: 50 sqm,1995,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,2LDK,Living room: 35 sqm,2012,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Yokohama Ward",$950,Condominium,80 sqm,3LDK,Living room: 45 sqm,2008,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2010,Concrete,10 minutes by walk,5 minutes by bus
